Salary Estimate,Rating,Company Name,Location,Size,Industry,Sector,Job State,Job Simplified,Vader
124400.0,4.0,Northrop Grumman,"Clearfield, UT",10000+,Aerospace & Defense,Aerospace & Defense,UT,data scientist,0.42
243000.0,4.7,NVIDIA,"Santa Clara, CA",10000+,Computer Hardware Development,Information Technology,CA,data scientist,0.4
173000.0,4.0,"The Travelers Companies, Inc.","Hartford, CT",10000+,Insurance Carriers,Insurance,CT,data scientist,0.43
210000.0,4.1,23andMe,"South San Francisco, CA",501 - 1000,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,CA,mle,0.37
82695.0,3.7,Sappi,"Skowhegan, ME",10000+,Machinery Manufacturing,Manufacturing,ME,data scientist,0.46
117150.0,4.0,"The Travelers Companies, Inc.","Hartford, CT",10000+,Insurance Carriers,Insurance,CT,data scientist,0.42
80393.0,4.1,Deloitte,"Rosslyn, VA",10000+,Accounting & Tax,Financial Services,VA,data scientist,0.53
182000.0,3.9,Leidos,"Arlington, VA",10000+,Aerospace & Defense,Aerospace & Defense,VA,data scientist,0.38
222000.0,3.6,Jazz Pharmaceuticals,"Palo Alto, CA",1001 - 5000,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,CA,data scientist,0.21
150950.0,4.0,"The Travelers Companies, Inc.","Hartford, CT",10000+,Insurance Carriers,Insurance,CT,data engineer,0.34
150950.0,4.0,"The Travelers Companies, Inc.","Hartford, CT",10000+,Insurance Carriers,Insurance,CT,data engineer,0.33
151000.0,4.1,Deloitte,"Denver, CO",10000+,Accounting & Tax,Financial Services,CO,data scientist,0.44
245500.0,4.0,Edwards Lifesciences,"Irvine, CA",10000+,Health Care Products Manufacturing,Manufacturing,CA,data scientist,0.42
98486.0,3.0,"Genesis Financial Solutions, Inc.","Beaverton, OR",501 - 1000,Banking & Lending,Financial Services,OR,data engineer,0.38
114341.0,3.4,Rocket Pharmaceuticals,"Cranbury, NJ",51 - 200,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,NJ,data scientist,0.43
91937.0,3.7,Direct Connect Logistix,"Indianapolis, IN",51 - 200,Taxi & Car Services,Transportation & Logistics,IN,data engineer,0.44
57524.0,3.6,The Bartech Group,"Auburn Hills, MI",1001 - 5000,HR Consulting,Human Resources & Staffing,MI,data scientist,0.49
104945.0,3.2,"Nutrisystem, Inc.","Fort Washington, PA",201 - 500,Drug & Health Stores,Retail & Wholesale,PA,data engineer,0.3
103554.0,4.5,OneGlobe LLC,"Washington, DC",51 - 200,Business Consulting,Management & Consulting,DC,data engineer,0.39
87321.0,3.2,Sound,"Tukwila, WA",501 - 1000,Health Care Services & Hospitals,Healthcare,WA,data engineer,0.28
98000.0,4.4,CAPITAL DISTRICT PHYSICIANS HEALTH PLAN INC,"Albany, NY",501 - 1000,Insurance Carriers,Insurance,NY,data engineer,0.33
108655.0,3.5,Simmons Prepared Foods Inc,"Siloam Springs, AR",1001 - 5000,Food & Beverage Manufacturing,Manufacturing,AR,data engineer,0.22
113745.0,4.4,Compeer Financial,"Bloomington, IL",1001 - 5000,Banking & Lending,Financial Services,IL,data scientist,0.35
116947.0,4.2,Resource Data,"Portland, OR",51 - 200,Enterprise Software & Network Solutions,Information Technology,OR,data engineer,0.46
124601.0,3.4,JLG Industries Inc,"Hagerstown, MD",1001 - 5000,Machinery Manufacturing,Manufacturing,MD,data engineer,0.27
130500.0,4.0,Codazen,"Salt Lake City, UT",51 - 200,Business Consulting,Management & Consulting,UT,data engineer,0.47
148650.0,4.4,SoCalGas,"Los Angeles, CA",5001 - 10000,Energy & Utilities,"Energy, Mining & Utilities",CA,data scientist,0.24
106038.0,4.0,Sanofi,"Bridgewater, NJ",10000+,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,NJ,data scientist,0.38
126291.0,4.0,United Therapeutics,"Research Triangle Park, NC",501 - 1000,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,NC,data engineer,0.42
115595.0,4.2,Resource Data,"Boise, ID",51 - 200,Enterprise Software & Network Solutions,Information Technology,ID,data engineer,0.49
61482.0,3.3,"Dayton T. Brown, Inc.","Bohemia, NY",201 - 500,Aerospace & Defense,Aerospace & Defense,NY,data scientist,0.43
105751.0,3.1,CardWorks,"Woodbury, NY",501 - 1000,Banking & Lending,Financial Services,NY,data engineer,0.61
134000.0,4.4,Global Christian Relief,"Santa Ana, CA",51 - 200,Business Consulting,Management & Consulting,CA,data engineer,0.26
80000.0,3.9,Titan America,"Roanoke, VA",1001 - 5000,Mining & Metals,"Energy, Mining & Utilities",VA,data engineer,0.53
212500.0,4.1,Bloomberg,"New York, NY",10000+,Computer Hardware Development,Information Technology,NY,mle,0.35
99500.0,4.2,ClarkDietrich,"West Chester, OH",1001 - 5000,Metal & Mineral Manufacturing,Manufacturing,OH,data engineer,0.53
127300.0,4.2,"Vizient, Inc.","Irving, TX",1001 - 5000,Health Care Services & Hospitals,Healthcare,TX,data engineer,0.32
113650.0,3.9,Zelis,Remote,501 - 1000,Health Care Services & Hospitals,Healthcare,Remote,data engineer,0.4
115600.0,3.8,Weyerhaeuser,"Seattle, WA",5001 - 10000,Wood & Paper Manufacturing,Manufacturing,WA,data engineer,0.33
95700.0,4.2,Booz Allen Hamilton,"Arlington, VA",10000+,Business Consulting,Management & Consulting,VA,data engineer,0.47
123030.0,4.1,Takeda Pharmaceutical,"Boston, MA",10000+,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,MA,data engineer,0.24
157500.0,3.9,Humana,Remote,10000+,Health Care Services & Hospitals,Healthcare,Remote,data engineer,0.28
101737.0,3.7,Teacher Retirement System of Texas,"Austin, TX",501 - 1000,Investment & Asset Management,Financial Services,TX,data engineer,0.18
91748.0,4.5,"TeamBradley, Inc","Savannah, GA",1 - 50,Advertising & Public Relations,Media & Communication,GA,data engineer,0.29
93125.0,3.8,Genworth,"Raleigh, NC",1001 - 5000,Insurance Carriers,Insurance,NC,data engineer,0.37
135420.0,3.8,Comcast,"Englewood, CO",10000+,Telecommunications Services,Telecommunications,CO,data engineer,0.35
153550.0,3.9,Liberty Mutual Insurance,"Portsmouth, NH",10000+,Insurance Carriers,Insurance,NH,data engineer,0.67
132500.0,3.3,Zoll Medical Corporation,"Broomfield, CO",1001 - 5000,Health Care Products Manufacturing,Manufacturing,CO,data engineer,0.39
112381.0,3.9,Liberty Mutual Insurance,"Boston, MA",10000+,Insurance Carriers,Insurance,MA,data scientist,0.52
113986.0,4.4,Boston Consulting Group,"Atlanta, GA",10000+,Business Consulting,Management & Consulting,GA,data engineer,0.44
124350.0,4.1,Navy Federal Credit Union,"Pensacola, FL",10000+,Banking & Lending,Financial Services,FL,data engineer,0.3
125000.0,3.6,Korn Ferry RPO for Projects (Resume),Remote,5001 - 10000,Business Consulting,Management & Consulting,Remote,data scientist,0.11
170000.0,4.4,Ayahealthcare,Oregon,5001 - 10000,HR Consulting,Human Resources & Staffing,OR,data engineer,0.37
155811.0,3.8,Comcast,"Philadelphia, PA",10000+,Telecommunications Services,Telecommunications,PA,data scientist,0.37
89257.0,4.2,"Software Resources, Inc.","Miramar, FL",51 - 200,Business Consulting,Management & Consulting,FL,data scientist,0.56
104047.0,4.4,"Intertech, Inc","Minnetonka, MN",51 - 200,Information Technology Support Services,Information Technology,MN,data engineer,0.45
142500.0,4.3,Michael Page,"New York, NY",201 - 500,Security & Protective,Management & Consulting,NY,data engineer,0.17
89338.0,3.5,Uline,"Pleasant Prairie, WI",5001 - 10000,Wholesale,Retail & Wholesale,WI,data engineer,0.28
70602.0,3.8,MidFirst Bank,"Oklahoma City, OK",1001 - 5000,Investment & Asset Management,Financial Services,OK,data engineer,0.16
91588.0,4.1,Warren CAT,"Oklahoma City, OK",1001 - 5000,Vehicle Dealers,Retail & Wholesale,OK,data scientist,0.25
100363.0,3.4,Allstate,"Chicago, IL",10000+,Insurance Agencies & Brokerages,Insurance,IL,data engineer,0.32
166250.0,3.6,Patreon,"San Francisco, CA",51 - 200,Internet & Web Services,Information Technology,CA,data engineer,0.42
105000.0,3.1,CVS Health,"Irving, TX",10000+,Health Care Services & Hospitals,Healthcare,TX,data engineer,0.62
97163.0,3.2,Child Mind Institute,"New York, NY",201 - 500,Health Care Services & Hospitals,Healthcare,NY,data scientist,0.32
98800.0,4.0,"ESRI, Inc.","Redlands, CA",1001 - 5000,Computer Hardware Development,Information Technology,CA,data engineer,0.49
101500.0,4.1,Finra,"Washington, DC",1001 - 5000,Investment & Asset Management,Financial Services,DC,data engineer,0.31
111922.0,2.7,United Wholesale Mortgage,"Pontiac, MI",5001 - 10000,Banking & Lending,Financial Services,MI,data scientist,0.38
82200.0,3.5,Delaware North,"Buffalo, NY",10000+,Catering & Food Service Contractors,Restaurants & Food Service,NY,data engineer,0.3
110500.0,3.9,Publicis Sapient,"Houston, TX",10000+,Business Consulting,Management & Consulting,TX,data engineer,0.49
150000.0,3.9,Leidos,"Springfield, VA",10000+,Aerospace & Defense,Aerospace & Defense,VA,data scientist,0.46
80414.0,4.6,Idaho Central Credit Union,"Chubbuck, ID",1001 - 5000,Banking & Lending,Financial Services,ID,data engineer,0.29
102499.0,3.4,Fairview Health Services,"Minneapolis, MN",10000+,Health Care Services & Hospitals,Healthcare,MN,data scientist,0.23
171620.0,4.1,GSK,"Cambridge, MA",10000+,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,MA,data scientist,0.45
98800.0,4.0,"ESRI, Inc.",Remote,1001 - 5000,Computer Hardware Development,Information Technology,Remote,data scientist,0.4
200000.0,4.1,Bloomberg,"New York, NY",10000+,Computer Hardware Development,Information Technology,NY,data scientist,0.3
113616.0,4.0,TTX,"Chicago, IL",1001 - 5000,Rail Transportation,Transportation & Logistics,IL,data engineer,0.28
145500.0,4.0,Codazen,"Irvine, CA",51 - 200,Business Consulting,Management & Consulting,CA,data engineer,0.47
118329.0,4.1,Artisan Design Group,"Dallas, TX",1001 - 5000,Construction,"Construction, Repair & Maintenance Services",TX,data engineer,0.4
90041.0,3.8,Alltech Inc,"Nicholasville, KY",1001 - 5000,Farm Support,Agriculture,KY,data engineer,0.58
92419.0,3.7,Guidehouse,"Huntsville, AL",1001 - 5000,Business Consulting,Management & Consulting,AL,data engineer,0.32
87425.0,3.9,BOEING,"Hazelwood, MO",10000+,Aerospace & Defense,Aerospace & Defense,MO,data scientist,0.25
200000.0,4.1,Bloomberg,"New York, NY",10000+,Computer Hardware Development,Information Technology,NY,data scientist,0.41
106301.0,3.6,Medline Industries Inc,"Chicago, IL",10000+,Health Care Products Manufacturing,Manufacturing,IL,data engineer,0.56
95650.0,4.2,Booz Allen Hamilton,"Camp H M Smith, HI",10000+,Business Consulting,Management & Consulting,HI,data engineer,0.39
75000.0,4.3,"Cupertino Electric, Inc.","Columbus, OH",1001 - 5000,Construction,"Construction, Repair & Maintenance Services",OH,data scientist,0.23
120000.0,4.3,Coinstar,Remote,201 - 500,Other Retail Stores,Retail & Wholesale,Remote,data engineer,0.43
119665.0,3.9,BAE Systems,"Sterling, VA",10000+,Aerospace & Defense,Aerospace & Defense,VA,data scientist,0.43
80874.0,4.3,M. A. Mortenson Company,"Dekalb, IL",1001 - 5000,Construction,"Construction, Repair & Maintenance Services",IL,data scientist,0.39
106810.0,3.0,"Radial, Inc.","King of Prussia, PA",5001 - 10000,Internet & Web Services,Information Technology,PA,data engineer,0.48
100020.0,3.5,Uline,"Pleasant Prairie, WI",5001 - 10000,Wholesale,Retail & Wholesale,WI,data engineer,0.28
84000.0,3.9,Leidos,"Arlington, VA",10000+,Aerospace & Defense,Aerospace & Defense,VA,data engineer,0.2
85027.0,3.4,CGB Enterprises Inc,"Mandeville, LA",1001 - 5000,Crop Production,Agriculture,LA,data engineer,0.16
114436.0,4.0,MetLife,"Cary, NC",10000+,Insurance Agencies & Brokerages,Insurance,NC,data engineer,0.42
96135.0,4.0,Fidelity TalentSource,"Westlake, TX",51 - 200,Staffing & Subcontracting,Human Resources & Staffing,TX,data engineer,0.38
84356.0,3.7,Guidehouse,"Huntsville, AL",1001 - 5000,Business Consulting,Management & Consulting,AL,data engineer,0.28
109174.0,3.5,MJHS,"Brooklyn, NY",1001 - 5000,Health Care Services & Hospitals,Healthcare,NY,data scientist,0.21
86668.0,-1.0,UnitedHealthcare,"Phoenix, AZ",10000+,Health Care Services & Hospitals,Healthcare,AZ,data engineer,0.46
96447.0,3.3,Meijer,"Grand Rapids, MI",10000+,Grocery Stores,Retail & Wholesale,MI,data engineer,0.3
135900.0,4.0,"The Travelers Companies, Inc.","Hartford, CT",10000+,Insurance Carriers,Insurance,CT,data engineer,0.32
94394.0,3.5,Zions Bancorporation,"Midvale, UT",10000+,Banking & Lending,Financial Services,UT,data engineer,0.31
151400.0,4.1,Sandia National Laboratories,"Albuquerque, NM",10000+,National Agencies,Government & Public Administration,NM,data scientist,0.39
123500.0,4.2,Colgate-Palmolive,"Piscataway, NJ",10000+,Consumer Product Manufacturing,Manufacturing,NJ,data scientist,0.45
126800.0,4.0,Northrop Grumman,"Gilbert, AZ",10000+,Aerospace & Defense,Aerospace & Defense,AZ,data scientist,0.33
157500.0,3.9,"GTT, LLC","Chevy Chase, MD",501 - 1000,Information Technology Support Services,Information Technology,MD,data engineer,0.46
116993.0,4.3,Ansys,"Kirkland, WA",1001 - 5000,Computer Hardware Development,Information Technology,WA,data scientist,0.44
82200.0,3.5,Delaware North,"Atlanta, GA",10000+,Catering & Food Service Contractors,Restaurants & Food Service,GA,data engineer,0.3
109500.0,3.4,Allstate,"Chicago, IL",10000+,Insurance Agencies & Brokerages,Insurance,IL,data scientist,0.3
90000.0,3.4,APCO Holdings,Remote,201 - 500,Automotive Parts & Accessories Stores,Retail & Wholesale,Remote,data engineer,0.34
112569.0,3.9,"Mariner Finance, LLC","White Marsh, MD",1001 - 5000,Banking & Lending,Financial Services,MD,data scientist,0.23
134390.0,4.1,Bloomberg,"Princeton, NJ",10000+,Computer Hardware Development,Information Technology,NJ,data scientist,0.42
85000.0,-1.0,DISH - Technology,"Englewood, CO",10000+,"Cable, Internet & Telephone Providers",Telecommunications,CO,data engineer,0.32
60055.0,3.6,Indepth Engineering Solutions,"Auburn Hills, MI",51 - 200,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",MI,data scientist,0.14
91687.0,3.0,"Healogics, Inc","Jacksonville, FL",1001 - 5000,Health Care Services & Hospitals,Healthcare,FL,data scientist,0.28
91687.0,3.9,"Delta Dental of Michigan, Ohio, and Indiana","Okemos, MI",1 - 50,Insurance Carriers,Insurance,MI,data engineer,0.28
101484.0,3.6,NTT DATA,"Brighton, MA",10000+,Information Technology Support Services,Information Technology,MA,data engineer,0.31
114410.0,2.6,NationsBenefits,"Dallas, TX",51 - 200,Health Care Services & Hospitals,Healthcare,TX,data engineer,0.54
85648.0,3.3,Spruce,"Austin, TX",51 - 200,Energy & Utilities,"Energy, Mining & Utilities",TX,data engineer,0.44
133571.0,4.6,Plaxonic Technologies,"New York, NY",51 - 200,Information Technology Support Services,Information Technology,NY,data engineer,0.33
103000.0,4.0,Sia Partners,"New York, NY",1001 - 5000,Business Consulting,Management & Consulting,NY,data engineer,0.29
73651.0,3.0,Carvana,"Carmel, IN",10000+,Other Retail Stores,Retail & Wholesale,IN,data engineer,0.27
112000.0,3.3,ZoomCare,Remote,501 - 1000,Health Care Services & Hospitals,Healthcare,Remote,data engineer,0.34
79761.0,4.6,"HMA Group Holdings, LLC.","Waukee, IA",1001 - 5000,Insurance Agencies & Brokerages,Insurance,IA,data engineer,0.42
88500.0,3.0,"School Specialty, LLC","Lombard, IL",1001 - 5000,Education & Training Services,Education,IL,data engineer,0.43
225000.0,5.0,Stytch,"New York, NY",1 - 50,Enterprise Software & Network Solutions,Information Technology,NY,data engineer,0.21
93588.0,4.3,"Codeworks, L.L.C.","Mequon, WI",201 - 500,Computer Hardware Development,Information Technology,WI,data engineer,0.11
73000.0,3.1,IGS Solutions LLC,"Los Angeles, CA",1 - 50,Enterprise Software & Network Solutions,Information Technology,CA,data engineer,0.36
107959.0,3.4,Kat Enterprise LLC,"Rockville, MD",1 - 50,HR Consulting,Human Resources & Staffing,MD,data engineer,0.67
682864.0,3.7,Newmark,"Colorado Springs, CO",5001 - 10000,Real Estate,Real Estate,CO,data scientist,0.22
65122.0,-1.0,Another Source,"Quincy, WA",1 - 50,HR Consulting,Human Resources & Staffing,WA,data scientist,0.25
83490.0,3.9,BOEING,"Everett, WA",10000+,Aerospace & Defense,Aerospace & Defense,WA,data scientist,0.24
51918.0,3.5,MasTec Network Solutions,"Denver, CO",10000+,Construction,"Construction, Repair & Maintenance Services",CO,data scientist,0.32
70000.0,4.4,ONYX Insight,"Boulder, CO",51 - 200,Energy & Utilities,"Energy, Mining & Utilities",CO,data scientist,0.37
707200.0,4.0,Broadleaf,"Rochester, NY",10000+,HR Consulting,Human Resources & Staffing,NY,data scientist,0.26
71994.0,4.7,Interclypse Inc,"Annapolis Junction, MD",51 - 200,Software Development,Information Technology,MD,data scientist,0.44
95249.0,4.4,Noblis,"Reston, VA",1001 - 5000,Business Consulting,Management & Consulting,VA,data scientist,0.39
94315.0,4.0,"Vertex, Inc.","King of Prussia, PA",1001 - 5000,Software Development,Information Technology,PA,data scientist,0.24
91239.0,3.9,Mayo Clinic,"Rochester, MN",10000+,Health Care Services & Hospitals,Healthcare,MN,analyst,0.31
128000.0,3.0,QuantAQ,Remote,201 - 500,Computer Hardware Development,Information Technology,Remote,data scientist,0.51
87400.0,3.6,Denver Health,"Denver, CO",5001 - 10000,Health Care Services & Hospitals,Healthcare,CO,data scientist,0.18
102170.0,5.0,Studio X,"Austin, TX",1 - 50,Energy & Utilities,"Energy, Mining & Utilities",TX,data scientist,0.52
65000.0,4.3,"CAVEON, LLC",Remote,1 - 50,Computer Hardware Development,Information Technology,Remote,data scientist,0.3
107121.0,3.9,"Calhoun International, LLC","Quantico, VA",1 - 50,Business Consulting,Management & Consulting,VA,data scientist,0.21
125000.0,4.0,The Daily Beast,"New York, NY",51 - 200,Publishing,Media & Communication,NY,data scientist,0.26
130941.0,3.8,"Asset Marketing Services, LLC","Eagan, MN",201 - 500,Other Retail Stores,Retail & Wholesale,MN,data scientist,0.3
110524.0,3.9,managementsolutions,"Boston, MA",1001 - 5000,Business Consulting,Management & Consulting,MA,data scientist,0.35
93273.0,4.5,Nursa,"Murray, UT",51 - 200,Health Care Services & Hospitals,Healthcare,UT,data scientist,0.49
102485.0,3.9,Husch Blackwell LLP,"Austin, TX",1001 - 5000,Legal,Legal,TX,data scientist,0.35
93987.0,4.5,Prescient Edge Federal,"Herndon, VA",51 - 200,Aerospace & Defense,Aerospace & Defense,VA,data scientist,0.34
112210.0,4.4,Quevera LLC,"McLean, VA",51 - 200,Enterprise Software & Network Solutions,Information Technology,VA,data scientist,0.53
115564.0,4.4,Progyny,"New York, NY",51 - 200,Health Care Services & Hospitals,Healthcare,NY,data scientist,0.55
105382.0,4.0,bp,"Denver, CO",10000+,Energy & Utilities,"Energy, Mining & Utilities",CO,data scientist,0.4
130000.0,3.8,Advance Local,Remote,1001 - 5000,Publishing,Media & Communication,Remote,data scientist,0.25
100957.0,3.9,Grinnell College,"Grinnell, IA",501 - 1000,Colleges & Universities,Education,IA,data scientist,0.36
107574.0,4.1,Lockheed Martin,"Moorestown, NJ",10000+,Aerospace & Defense,Aerospace & Defense,NJ,mle,0.29
111397.0,4.1,Enbridge,"Houston, TX",10000+,Energy & Utilities,"Energy, Mining & Utilities",TX,data scientist,0.35
105000.0,4.3,"iSpecimen, Inc.","Lexington, MA",51 - 200,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,MA,data scientist,0.44
116848.0,4.2,Algo,"Troy, MI",51 - 200,Computer Hardware Development,Information Technology,MI,data engineer,0.19
95221.0,4.7,SpyCloud,"Austin, TX",51 - 200,Enterprise Software & Network Solutions,Information Technology,TX,data scientist,0.27
126583.0,4.0,vagus,"Alexandria, VA",51 - 200,Information Technology Support Services,Information Technology,VA,data engineer,0.22
86370.0,3.8,Skill Quotient,"Auburn Hills, MI",501 - 1000,Information Technology Support Services,Information Technology,MI,data engineer,0.16
120000.0,4.8,GVEC,"Seguin, TX",201 - 500,Energy & Utilities,"Energy, Mining & Utilities",TX,data engineer,0.42
80605.0,3.3,MedSpeed,"Elmhurst, IL",201 - 500,Taxi & Car Services,Transportation & Logistics,IL,data engineer,0.5
175000.0,4.0,Costco Wholesale,"Seattle, WA",10000+,General Merchandise & Superstores,Retail & Wholesale,WA,data engineer,0.3
112500.0,4.2,"TeamWorx Security, LLC","Columbia, MD",1 - 50,Aerospace & Defense,Aerospace & Defense,MD,data engineer,0.43
112500.0,4.0,Milliman,"Seattle, WA",1001 - 5000,Business Consulting,Management & Consulting,WA,data engineer,0.37
82757.0,3.8,ICON GPHS,"Gaithersburg, MD",10000+,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,MD,statistician,0.15
85000.0,2.9,"Lotus Clinical Research, LLC",Remote,51 - 200,Health Care Services & Hospitals,Healthcare,Remote,statistician,0.24
48500.0,4.1,Georgetown University,"Washington, DC",5001 - 10000,Colleges & Universities,Education,DC,data scientist,-0.2
147500.0,4.5,Joule,"Cranbury, NJ",201 - 500,HR Consulting,Human Resources & Staffing,NJ,data scientist,0.11
99989.0,5.0,Penfield Search Partners,"Philadelphia, PA",1 - 50,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,PA,data scientist,0.27
81569.0,4.5,Joule,"Florham Park, NJ",201 - 500,HR Consulting,Human Resources & Staffing,NJ,statistician,0.29
123521.0,5.0,Penfield Search Partners,"Bridgewater, NJ",1 - 50,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,NJ,data scientist,0.23
94016.0,4.3,University of California - Irvine,"Irvine, CA",10000+,Colleges & Universities,Education,CA,analyst,0.35
115500.0,4.1,Corteva,"Indianapolis, IN",10000+,Farm Support,Agriculture,IN,research scientist,0.32
118873.0,3.4,"Signature Science, LLC","Charlottesville, VA",51 - 200,Business Consulting,Management & Consulting,VA,data scientist,0.15
748800.0,2.4,Quantam Solutions,"Frankfort, KY",51 - 200,Information Technology Support Services,Information Technology,KY,analyst,0.23
118831.0,3.7,Abt Associates,"Rockville, MD",1001 - 5000,Research & Development,Management & Consulting,MD,statistician,0.35
84768.0,3.9,Los Alamos National Laboratory,"Los Alamos, NM",10000+,National Agencies,Government & Public Administration,NM,statistician,0.2
80800.0,4.1,Cancer Research And Biostatistics (CRAB),"Seattle, WA",51 - 200,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,WA,data scientist,0.32
65050.0,4.1,University of North Carolina at Chapel Hill,North Carolina,1 - 50,Colleges & Universities,Education,NC,statistician,0.48
772720.0,4.4,Rangam Consultants Inc.,"North Chicago, IL",501 - 1000,HR Consulting,Human Resources & Staffing,IL,statistician,0.14
78199.0,4.1,Duke University,"Durham, NC",10000+,Colleges & Universities,Education,NC,statistician,0.27
87200.0,4.0,Northwell Health,"Manhasset, NY",10000+,Health Care Services & Hospitals,Healthcare,NY,statistician,0.11
72500.0,3.9,UTMB Health,"Galveston, TX",10000+,Health Care Services & Hospitals,Healthcare,TX,statistician,0.12
131474.0,3.0,OTTR Chronic Care Solutions,"Brisbane, CA",1 - 50,Health Care Services & Hospitals,Healthcare,CA,statistician,0.26
63650.0,4.2,University of Utah,"Salt Lake City, UT",10000+,Colleges & Universities,Education,UT,statistician,0.18
121500.0,4.2,Procter & Gamble,"Mason, OH",10000+,Consumer Product Manufacturing,Manufacturing,OH,data scientist,0.34
70000.0,4.0,FHI 360,"Durham, NC",1001 - 5000,Civic & Social Services,Nonprofit & NGO,NC,statistician,0.11
105935.0,4.2,Astellas,"Northbrook, IL",1001 - 5000,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,IL,data scientist,0.33
164531.0,4.1,Incyte Corporation,"Wilmington, DE",501 - 1000,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,DE,data scientist,0.3
111196.0,3.6,Apellis Pharmaceuticals,"Waltham, MA",501 - 1000,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,MA,statistician,0.31
112650.0,4.1,Linus Health,"Boston, MA",51 - 200,Health Care Services & Hospitals,Healthcare,MA,statistician,0.45
130807.0,4.3,"IGM Biosciences, Inc.","Mountain View, CA",201 - 500,Biotechnology,Pharmaceutical & Biotechnology,CA,data scientist,0.21
78591.0,4.2,The University of Chicago,"Chicago, IL",10000+,Colleges & Universities,Education,IL,statistician,0.17
76746.0,3.9,Baylor College of Medicine,"Houston, TX",5001 - 10000,Colleges & Universities,Education,TX,statistician,0.26
70644.0,3.8,The University of Iowa,"Iowa City, IA",10000+,Health Care Services & Hospitals,Healthcare,IA,statistician,0.21
60750.0,4.1,Columbia University Medical Center,"New York, NY",10000+,Colleges & Universities,Education,NY,data scientist,0.53
114670.0,3.8,U.S. Army Training and Doctrine Command,"Fort Eustis, VA",10000+,National Agencies,Government & Public Administration,VA,statistician,0.18
107500.0,4.3,Stanford University,"Stanford, CA",10000+,Colleges & Universities,Education,CA,statistician,0.24
73015.0,3.6,American College of Surgeons,"Chicago, IL",201 - 500,Health Care Services & Hospitals,Healthcare,IL,statistician,0.29
83836.0,4.3,USC,"Los Angeles, CA",10000+,Colleges & Universities,Education,CA,statistician,0.11
72590.0,3.9,NORC at the University of Chicago,"Chicago, IL",1001 - 5000,Research & Development,Management & Consulting,IL,statistician,0.23
111196.0,3.6,Apellis,"Waltham, MA",501 - 1000,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,MA,statistician,0.31
98517.0,4.1,Fred Hutchinson Cancer Research Center,"Seattle, WA",1001 - 5000,Civic & Social Services,Nonprofit & NGO,WA,statistician,0.17
47012.0,3.9,Mayo Clinic,"Jacksonville, FL",10000+,Health Care Services & Hospitals,Healthcare,FL,data scientist,0.3
86262.0,3.9,KBR,"Houston, TX",10000+,Aerospace & Defense,Aerospace & Defense,TX,statistician,0.31
50329.0,4.1,Columbia University Medical Center,"New York, NY",10000+,Colleges & Universities,Education,NY,data scientist,0.23
72134.0,4.4,University of Michigan,"Ann Arbor, MI",10000+,Colleges & Universities,Education,MI,data scientist,0.29
93177.0,4.0,Hospital for Special Surgery,"New York, NY",1001 - 5000,Health Care Services & Hospitals,Healthcare,NY,statistician,0.52
70004.0,3.9,The Ohio State University Wexner Medical Center,"Columbus, OH",10000+,Health Care Services & Hospitals,Healthcare,OH,analyst,0.15
60750.0,4.1,Columbia University,"New York, NY",10000+,Colleges & Universities,Education,NY,data scientist,0.46
71701.0,4.2,University of Texas at Arlington,"Arlington, TX",5001 - 10000,Colleges & Universities,Education,TX,data scientist,0.24
130855.0,4.1,Verona Pharma,"Raleigh, NC",10000+,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,NC,statistician,0.35
93908.0,3.6,Moderna Therapeutics,"Cambridge, MA",1001 - 5000,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,MA,statistician,0.35
84286.0,4.0,Massachusetts General Hospital(MGH),"Boston, MA",10000+,Health Care Services & Hospitals,Healthcare,MA,data scientist,0.27
82901.0,4.0,Spectral MD Inc,"Dallas, TX",51 - 200,Biotechnology,Pharmaceutical & Biotechnology,TX,statistician,0.33
98334.0,4.1,Corteva,"Champaign, IL",10000+,Farm Support,Agriculture,IL,statistician,0.5
49001.0,4.1,University of South Carolina,"Spartanburg, SC",5001 - 10000,Colleges & Universities,Education,SC,analyst,0.35
134000.0,4.0,Edwards Lifesciences,"Irvine, CA",10000+,Health Care Products Manufacturing,Manufacturing,CA,statistician,0.24
92448.0,4.1,Pfizer,"Groton, CT",10000+,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,CT,statistician,0.35
