Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Industry,Sector,Revenue,Job State,Job Simplified,Seniority,Vader
 
 The following position is open in Chicago, IL., - Data Scientist - Supply Planning
 
 What makes this a great opportunity?",3.9,Beam Inc.,,5001 - 10000,Food & Beverage Manufacturing,Manufacturing,1000 - 5000,,data scientist,,0.51

Applied Machine Learning Scientist - Data Technologies,205000,"Who we are:
 The Bloomberg Engineering Data Technologies Department engineers systems and models that serve billions of data points to some of the World's most discerning customers each day. The Data Science team is a dynamic, collaborative and intellectually stimulating bunch, working together on interesting problems to bring impact to our customers and clients. We care deeply about building a diverse, inclusive organization, and hope that you can join us in this exciting work!
 
 What we do:
 At Bloomberg, our systems ingest hundreds of billions of market data ticks and millions of curated news stories for financial players to process and make investment decisions. Our company-wide machine learning efforts enhance our clients' ability to find the right pieces of information that are necessary to succeed in their jobs.
 
 In our Data Science team, we are transforming the technology, the data and the insights that Bloomberg provides to our customers across the global financial sector, using data science and machine learning.
 
 
 You will work alongside extraordinary talent to find innovative solutions to some of the most interesting problems in the Financial Industry (and beyond!) using data science and machine learning. In collaboration with colleagues in Engineering, the CTO office, the Data group and the Product organization, you will be working with complex datasets, developing prototypes to test analytical hypotheses and performing statistical quantitative analyses to drive business value for the company.
 
 
 Bloomberg is an equal opportunity employer and we value diversity at our company. We do not discriminate on the basis of age, ancestry, color, gender identity or expression, genetic predisposition or carrier status, marital status, national or ethnic origin, race, religion or belief, sex, sexual orientation, sexual and other reproductive health decisions, parental or caring status, physical or mental disability, pregnancy or parental leave, protected veteran status, status as a victim of domestic violence, or any other classification protected by applicable law.
 
 Bloomberg is a disability inclusive employer. Please let us know if you require any reasonable adjustments to be made for the recruitment process. If you would prefer to discuss this confidentially, please email amer_recruit@bloomberg.net.
 
 Salary Range: 160,000 - 250,000 USD Annually + Benefits + Bonus
 
 The referenced salary range is based on the Company's good faith belief at the time of posting. Actual compensation may vary based on factors such as geographic location, work experience, market conditions, education/training and skill level.
 
 We offer one of the most comprehensive and generous benefits plans available and offer a range of total rewards that may include merit increases, incentive compensation [Exempt roles only], paid holidays, paid time off, medical, dental, vision, short and long term disability benefits, 401(k) +match, life insurance, and various wellness programs, among others. The Company does not provide benefits directly to contingent workers/contractors and interns.",4.1,Bloomberg,"Middletown, CT",10000+,Computer Hardware Development,Information Technology,,CT,mle,,0.37

Senior Language Modeling Engineer - Artificial Intelligence Group,212500,"Bloomberg is a global leader in business and financial information, delivering trusted data, news, and insights that bring transparency, efficiency, and fairness to markets. The Bloomberg Terminal connects influential communities across the global financial ecosystem via reliable technology that enables our customers to make informed decisions and foster collaboration.
 
 For over a decade, Bloomberg has been a trailblazer in financial applications of AI, machine learning, and natural language processing (NLP). The Artificial Intelligence group is responsible for driving adoption of these technologies at Bloomberg, with over 250 research engineers working collaboratively to provide clients with the best-in-class news, research, market data, and analytics.
 
 The AI group contributes to Bloomberg's flagship products such as news, research, pricing, communications platforms, search and discovery tools. We work on a variety of AI subfields, including NLP, information retrieval, time series analysis, and recommender systems. Textual data is particularly key to understanding how events in the world impact our clients. Whether it's analyzing social media sentiment over thousands of tweets per second, automatically extracting key indicators from press releases and filings, or helping clients derive intelligence from their internal communications by identifying entities and intents, we've used NLP to help Bloomberg maintain its edge as the market leader in financial data and communications.
 
 The advent of large language models (LLMs) presents new opportunities for expanding our NLP capabilities in our products. BloombergGPT - our recently announced large language model - is the most performant language model for financial text, and it puts us at the forefront of building innovative NLP products for our clients.
 
 As a Language Modeling Engineer, you will have access to BloombergGPT and other LLMs, as well as vast amounts of high-quality data that go into training and evaluating them. You will be expected to lead the way in applying these models to transform our current approaches and creating groundbreaking new products that would have been impossible with the previous generation of technologies. You will also be responsible for developing the next generation of LLMs for state-of-the-art financial NLP.
 
 
 Apply if you think we're a good match! We'll get in touch with you to let you kno w what the next steps are. In the meantime, check us out at http://www.techatbloomberg.com/ai.
 
 Bloomberg is an equal opportunity employer and we value diversity at our company. We do not discriminate on the basis of age, ancestry, color, gender identity or expression, genetic predisposition or carrier status, marital status, national or ethnic origin, race, religion or belief, sex, sexual orientation, sexual and other reproductive health decisions, parental or caring status, physical or mental disability, pregnancy or parental leave, protected veteran status, status as a victim of domestic violence, or any other classification protected by applicable law.
 
 Bloomberg is a disability inclusive employer. Please let us know if you require any reasonable adjustments to be made for the recruitment process. If you would prefer to discuss this confidentially, please email amer_recruit@bloomberg.net
 
 
 
 Salary Range: 165,000 - 260,000 USD Annually + Benefits + Bonus
 
 The referenced salary range is based on the Company's good faith belief at the time of posting. Actual compensation may vary based on factors such as geographic location, work experience, market conditions, education/training and skill level.
 
 We offer one of the most comprehensive and generous benefits plans available and offer a range of total rewards that may include merit increases, incentive compensation [Exempt roles only], paid holidays, paid time off, medical, dental, vision, short and long term disability benefits, 401(k) +match, life insurance, and various wellness programs, among others. The Company does not provide benefits directly to contingent workers/contractors and interns.",4.1,Bloomberg,"Middletown, CT",10000+,Computer Hardware Development,Information Technology,,CT,data scientist,senior,0.34

Senior NLP Research Engineer - Artificial Intelligence Group,212500,"The AI Group is the central engineering group responsible for driving Machine Learning (ML) adoption at Bloomberg, with over 200 researchers and engineers working together to provide clients with the best-in-class news, research, market data, and analytics using innovative machine learning technology. We directly impact a wide variety of our flagship products, including news, research, pricing, communications platforms, search and discovery tools. We work on a variety of ML fields, including natural language processing, information retrieval, time series analysis, and recommender systems.
 
 Some projects where we are looking for experienced research engineers include: unified search, question answering, query parsing, financial instrument (e.g., fixed income) pricing, dialogue understanding. Our research engineers are responsible for architecting and implementing models end-to-end, overcoming unique challenges that come with machine learning systems in the financial domain. In addition, we contribute to open source; contributions we have made and work with include Solr, Koan, KFServing, Cloud Native Buildpacks and PyTorch Lightning that directly impact our production services.
 
 Textual data is key to understanding how events in the world impact our clients. As the amount of unstructured data has increased, natural language processing has become a key tool for Bloomberg to deliver analytics faster, more accurately, and at a larger scale than ever before. Whether it's analyzing the social media sentiment of companies over thousands of tweets per second, automatically extracting key indicators from press releases and filings before the rest of the market, or helping our clients derive intelligence from their internal communications by identifying entities and intents, NLP has enabled Bloomberg to maintain its edge as the market leader in financial data and communications.
 
 
 Apply if you think we're a good match! We'll get in touch with you to let you kno w what the next steps are. In the meantime, check us out at http://www.techatbloomberg.com/ (http://www.techatbloomberg.com/)
 
 Bloomberg is an equal opportunity employer and we value diversity at our company. We do not discriminate on the basis of age, ancestry, color, gender identity or expression, genetic predisposition or carrier status, marital status, national or ethnic origin, race, religion or belief, sex, sexual orientation, sexual and other reproductive health decisions, parental or caring status, physical or mental disability, pregnancy or maternity/parental leave, protected veteran status, status as a victim of domestic violence, or any other classification protected by applicable law.
 
 Bloomberg is a disability inclusive employer. Please let us know if you require any reasonable adjustments to be made for the recruitment process. If you would prefer to discuss this confidentially, please email amer_recruit@bloomberg.net.
 
 Salary Range: 165,000 - 260,000 USD Annually + Benefits + Bonus
 
 The referenced salary range is based on the Company's good faith belief at the time of posting. Actual compensation may vary based on factors such as geographic location, work experience, market conditions, education/training and skill level.
 
 We offer one of the most comprehensive and generous benefits plans available and offer a range of total rewards that may include merit increases, incentive compensation [Exempt roles only], paid holidays, paid time off, medical, dental, vision, short and long term disability benefits, 401(k) +match, life insurance, and various wellness programs, among others. The Company does not provide benefits directly to contingent workers/contractors and interns.",4.1,Bloomberg,"Middletown, CT",10000+,Computer Hardware Development,Information Technology,,CT,data scientist,senior,0.34

Data Scientist - Pricing,87785,"Data Scientist – Pricing
 
 Hertz is one of the largest global mobility organizations and is currently undergoing a significant digital transformation. Hertz holds the largest EV rental fleet and is combining its brand strength and global fleet management expertise with new technology and innovations to chart a dynamic, new course for travel, mobility and the auto industry. Hertz is committed to becoming an essential component of the modern mobility ecosystem which includes leading in electrification, shared mobility and a digital-first customer experience.
 
 At Hertz, our data scientists are responsible for developing and maintaining best in class machine learning and predictive models to create business value and identify key strategic opportunities.
 
 
 
 
 
 
 
 
 The Hertz Corporation operates the Hertz, Dollar Car Rental, Thrifty Car Rental brands in approximately 9,700 corporate and franchisee locations throughout North America, Europe, The Caribbean, Latin America, Africa, the Middle East, Asia, Australia and New Zealand. The Hertz Corporation is one of the largest worldwide airport general use vehicle rental companies, and the Hertz brand is one of the most recognized in the world.",3.2,Hertz,"Estero, FL",10000+,Car & Truck Rental,Transportation & Logistics,5000 - 10000,FL,data scientist,,0.39

Sr Data Scientist - Pricing,110398,"Senior Data Scientist – Pricing
 
 Hertz is one of the largest global mobility organizations and is currently undergoing a significant digital transformation. Hertz holds the largest EV rental fleet and is combining its brand strength and global fleet management expertise with new technology and innovations to chart a dynamic, new course for travel, mobility and the auto industry. Hertz is committed to becoming an essential component of the modern mobility ecosystem which includes leading in electrification, shared mobility and a digital-first customer experience.
 At Hertz, our senior data scientists are responsible for defining, developing and maintaining best in class machine learning and predictive models to create business value and identify key strategic opportunities. To achieve this you will outline work requirements, assign and delegate tasks to junior staff, and monitor the performance within the data science team.
 
 
 
 
 
 The Hertz Corporation operates the Hertz, Dollar Car Rental, Thrifty Car Rental brands in approximately 9,700 corporate and franchisee locations throughout North America, Europe, The Caribbean, Latin America, Africa, the Middle East, Asia, Australia and New Zealand. The Hertz Corporation is one of the largest worldwide airport general use vehicle rental companies, and the Hertz brand is one of the most recognized in the world.",3.2,Hertz,"Estero, FL",10000+,Car & Truck Rental,Transportation & Logistics,5000 - 10000,FL,data scientist,senior,0.34

Sr. Technical Business Analyst - AI Products,105186,"Our Fortune 500 company is driving a digital transformation and looking for forward-thinking innovators to disrupt how our industry thinks about and uses technology. As one of the world's leading employee benefits providers, we help millions of people gain affordable access to benefits that help them protect their families, their finances and their futures.
 Are you an asker of questions, a solver of problems, and a challenger of the status quo? Our mission is to provide a differentiated customer experience and exceed the expectations people have of technology at any company — not just insurers.
 We are seeking individuals to join our team of talented IT professionals who share never-ending passion and an unwavering focus on our customer experience. Team members comfortable working in an agile, fast-paced, and delivery-focused environment thrive in our environment where we value an entrepreneurial spirit and those who challenge the status-quo.
 Our AI Product & Platform team has an immediate opportunity for a forward-thinking, experienced Sr. Technical Business Analyst.
 
 The AI Product and Platform team’s vision is to empower Unum to become a leading AI first company. To achieve this, the team builds and supports game changing AI powered products for Unum to operate better, faster, and with a larger scope than ever before. Ultimately, this will maximize value delivery to both Unum customers and shareholders.
 
 This role plays a critical role to the team’s success, as it is responsible for defining and delivering clear technical requirements necessary to build and integrate our market-leading advanced analytical products. The Sr. Technical Business Analyst will participate in the advancement of these data solutions by working closely with Business Units, Data Scientists, Product Owners, Developers and Architects. This role plays also plays a crucial role in building cutting edge advanced data science-based solutions.
 
 Ideal candidate will have a combined experience of strong business analysis and strong data analytics that includes data mapping, working with large data sets, and dealing with complex data streams.
 
 This is a hybrid position located in Atlanta (Sandy Springs), GA, Chattanooga TN, or Portland, ME.
 $95,000.00-$185,400.00
 Unum",3.8,Unum,"Atlanta, GA",5001 - 10000,Insurance Carriers,Insurance,10000+,GA,analyst,senior,0.41

Data Scientist (Remote),82955,"We're a Little Different
 
 Our mission is clear. We bring to life a healing ministry through our compassionate care and exceptional service.
 
 At Mercy, we believe in careers that match the unique gifts of unique individuals - careers that not only make the most of your skills and talents, but also your heart. Join us and discover why Modern Healthcare Magazine named us in its ""Top 100 Places to Work.""
 
 Overview: Data Scientist
 
 Position can be done Remote (work from home).
 
 Mercy is seeking a Data Scientist to work within a team of other advanced professional data scientists, engineers, and application developers in the generation, extraction, and compilation of data to perform creative, high-quality, state-of-the-art analyses and evaluations that produce insights, support decision-making, and drive impact within a leading and transforming healthcare organization. This position will support Mercys efforts to deliver on the vision of personalized, predictive, and proactive care. The candidate should demonstrate expertise with data extraction, management, analysis with data analytics tools, and be able deliver outputs on a timeline. The candidate should be able to effectively document, develop, and communicate project plans and analytic findings with a variety of technical/non-technical stakeholders.
 
 
 
 
 
 Day-one comprehensive health, vision and dental coverage, PTO, tuition reimbursement and employer-matched retirement funds are just a few of the great benefits offered to eligible co-workers, including those working 32 hours or more per pay period!
 
 
 
 At Mercy, our supportive community will be behind you every step of your day, especially the tough ones. You will have opportunities to pioneer new models of care and transform the health care experience through advanced technology and innovative procedures. We're expanding to help our communities grow. Join us and be a part of it all.
 
 
 
 Compassion and professionalism go hand-in-hand with us. Having a positive outlook and a strong sense of advocacy is in perfect step with our mission and vision. We're also collaborative and unafraid to do a little extra to deliver excellent care - that's just part of our commitment. If that sounds like a good fit for you, we encourage you to apply.",3.5,Mercy,"Chesterfield, MO",10000+,Health Care Services & Hospitals,Healthcare,100 - 500,MO,data scientist,,0.59

Data Scientist,125000,"· Experience on AI/ML model development competencies inclusive (but not limited to) of data science models as below:
 · Regression Models – Linear & Logistic.
 · Customer profiling, segmentation & Clustering (Kmeans, Hierarchical).
 · Decision Tree
 · Time Series forecasting – Statistical methods such as ARIMA, Exp. Smoothing Methods, ML Forecasting methods such as LSTM, Prophet, Neural Prophet
 · Bayesian Networks",4.8,"Swanktek, Inc","Austin, TX",1 - 50,Information Technology Support Services,Information Technology,1 - 5,TX,data scientist,,0.06

Data Scientist - Entry Level,121209,"Company Description
 Join us and make YOUR mark on the World!
 Are you passionate about data science? Do you enjoy staying updated on the latest methods and developing solutions to novel data science problems? Are you interested in joining some of the brightest talent in the world to create solutions with national impact that advance our scientific fields and strengthen the United States’ security? Come join Lawrence Livermore National Laboratory (LLNL) where our employees apply their expertise to create solutions for BIG ideas that make our world a better place.
 We are committed to a diverse and equitable workforce with an inclusive culture that values and celebrates the diversity of our people, talents, ideas, experiences, and perspectives. This is essential to innovation and creativity for continued success of the Laboratory’s mission.",4.4,Lawrence Livermore National Laboratory,"Livermore, CA",5001 - 10000,National Agencies,Government & Public Administration,1000 - 5000,CA,data scientist,jr,0.7

NLP Engineer,110000,"About Augmedix:
 
 Augmedix (Nasdaq: AUGX) delivers industry-leading, ambient medical documentation and data solutions to healthcare systems, physician practices, hospitals, and telemedicine practitioners.
 
 Augmedix is on a mission to help clinicians and patients form a human connection at the point of care without the intrusion of technology. Augmedix’s solutions extract data from natural physician-patient conversations and convert it to medical notes in real time, which are seamlessly transferred to the EHR. To achieve this, the company’s Ambient Automation Platform uses Automated Speech Recognition and Natural Language Processing, supported by medical documentation specialists.
 
 Leveraging this platform, Augmedix’s solutions relieve clinicians of administrative burden, in turn, reducing burnout and increasing both clinician and patient satisfaction. Augmedix is also leading the revolution in leveraging point-of-care data by making connections between millions of physician-patient interactions and analyzing them to deliver actionable insights that elevate patient care.",3.9,Augmedix Inc.,Remote,501 - 1000,Health Care Services & Hospitals,Healthcare,5 - 25,Remote,data scientist,,0.49

"Machine Learning Scientist, Image Analysis",144845,"Our Mission
 To restore cell health and resilience through cellular rejuvenation programming to reverse disease, injury, and the disabilities that can occur throughout life.
 For more information, see our website at altoslabs.com.
 Diversity at Altos
 We believe that diverse perspectives are foundational to scientific innovation and inquiry.
 We are building a company where exceptional scientists and industry leaders from around the world work side by side to advance a shared mission.",4.8,Altos Labs,"Redwood City, CA",51 - 200,,,,CA,mle,,0.14

Data Scientist - Machine Learning,134586,"Job Description
 DATA SCIENTIST (MACHINE LEARNING)
 Remote (USA) or Flex. Offices in Santa Clara, CA, New York, NY.
 The Team
 As the leading student-first connected learning platform, Chegg’s mission is to help every student achieve their best, in school and beyond. Chegg’s student-facing technology serves millions of active subscribers.
 Chegg’s Machine Learning (ML) organization has a growing impact across the company’s offerings via a variety of projects including:
 Personalization of student experiences
 Understanding and generation of multi-modal educational content
 Search and information retrieval",4.2,Chegg,"Santa Clara, CA",1001 - 5000,Internet & Web Services,Information Technology,500 - 1000,CA,mle,,0.27

Machine Learning Engineer,117711,"Job Information
 Number of Positions
 1
 Industry
 Technology
 Work Experience
 0-1 year
 Remote Job",4.0,LeewayHertz,"San Francisco, CA",51 - 200,Computer Hardware Development,Information Technology,,CA,mle,,0.08

Data Scientist with AI/ML,111446,"· Experience on AI/ML model development competencies inclusive (but not limited to) of data science models as below:
 · Regression Models – Linear & Logistic.
 · Customer profiling, segmentation & Clustering (Kmeans, Hierarchical).
 · Decision Tree
 · Time Series forecasting – Statistical methods such as ARIMA, Exp. Smoothing Methods, ML Forecasting methods such as LSTM, Prophet, Neural Prophet
 · Bayesian Networks",-1.0,Swanktek,"Austin, TX",1 - 50,Information Technology Support Services,Information Technology,1 - 5,TX,data scientist,,0.06

Senior Machine Learning Engineer,212500,"About Us:
 Live experiences help people cross today’s digital divide and focus on what truly connects us – the here, the new, this once-in-a-lifetime moment that’s bringing us together. To fulfill Gametime’s mission of uniting the world through shared experiences, we make it easy for people to discover and access the live experiences that matter most.
 
 With platforms on iOS, Android, mobile web and desktop supporting more than 25,000 events across the US and Canada, we are reimagining the event ticket industry in order to move at the speed of life.
 
 The Role:
 This person will drive pricing, curation, and merchandising projects from ideation to implementation. They will be a key person for the Merchandising defining objective and should be able to improve net revenue 5-10% over the next year. This is an amazing opportunity because merchandising is key to Gametime. Pricing tickets correctly and showing users the right inventory is essential to our business. The increased emphasis on sponsored means we are going to be really pushing the envelope on how we can drive our sellers to offer our users differentiated experiences, inventory, and prices. Lastly, we run lots of experiments- so this role is not a research project in the corner, but will have clear, measurable impact. Aside from the algorithms side, this person will collaborate heavily with product and design to inform the seat selection / UX roadmap.",4.5,"Gametime United, Inc.",Remote,51 - 200,Ticket Sales,"Arts, Entertainment & Recreation",25 - 100,Remote,mle,senior,0.41

Machine Learning Data Scientist - Python / R,117041,"In this age of disruption, organizations need to navigate the future with confidence by tapping into the power of data analytics, robotics, and cognitive technologies such as Artificial Intelligence (AI).
 
 Our Strategy & Analytics portfolio helps clients leverage rigorous analytical capabilities and a pragmatic mindset to solve the most complex of problems. By joining our team, you will play a key role in helping to our clients uncover hidden relationships from vast troves of data and transforming the Government and Public Services marketplace.
 
 Work you'll do
 
 
 Developing advanced analytics products
 Apply data visualization and statistical programming tools to enterprise data
 
 
 
 
 
 The GPS Analytics and Cognitive (A&C) offering is responsible for developing advanced analytics products and applying data visualization and statistical programming tools to enterprise data in order to advance and enable the key mission outcomes for our clients.
 
 Our team supports all phases of analytic work product development, from the identification of key business questions through data collection and ETL, and from performing analyses and using a wide range of statistical, machine learning, and applied mathematical techniques to delivery insights to decision-makers. Our practitioners give special attention to the interplay between data and the business processes that produce it and the decision-makers that consume insights.
 
 
 
 
 
 
 
 
 
 
 
 At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there's always room to learn.
 
 We offer opportunities to help sharpen skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs, our professionals have a variety of opportunities to continue to grow throughout their career. #LI-BL2
 
 #LI-MM4",4.1,Deloitte,"Rosslyn, VA",10000+,Accounting & Tax,Financial Services,10000+,VA,mle,,0.39

Data Scientist,120000,"Gloo was founded as a mission-driven organization with the goal to release the passion in every person to Champion the growth of another so they can be all they were born to be.
 
 Today, organizations of all sizes in the faith space use Gloo’s products to become more informed, better connected, and fully equipped to overcome their greatest challenges and achieve powerful outcomes, helping people progress through their personal growth journeys.
 
 By building a common platform, we are creating a shared infrastructure that removes friction, promotes collaboration, and equips leaders with the right tools to galvanize personal growth and change lives. We are a fast-moving and passionate team that is looking for more talented professionals who are driven to make a positive impact.
 
 The Opportunity:
 As a Data Scientist you’ll bring 3+ years of modeling experience to apply to Gloo’s Product line. You’ll jump to prototype ideas and showcase the value of predictive analytics. You’ll be building and deploying machine learning models as data products. In other words, you will make a big impact at Gloo!",3.6,Gloo,"Boulder, CO",51 - 200,Enterprise Software & Network Solutions,Information Technology,1 - 5,CO,data scientist,,0.54

Data Scientist,108421,"With a focus on Mobility, Operational Excellence, Value to our Customers and the Electrification of vehicles, you can expect to be part of something exciting. From the sleek design of our vehicles to the unique opportunities we offer around the globe, Nissan exemplifies ingenuity in everything we do. Our people are what drive the business forward.
 
 We are currently looking for a Data Scientist: Data Innovation to join our team at our in Franklin, TN. This is can be a 100% remote position (Must be in US).
 
 Job Summary:
 Provides complex data and predictive analytics solutions to identify and address opportunities for business growth and optimization of decisions across multiple business functions. In particular, the Data Scientist will be responsible for extracting relevant data, modeling business processes, discovering business insights, and identifying opportunities through the use of in-depth statistical, algorithmic, data mining and advanced visualization techniques.
 
 
 Utilizes experience in statistical and machine learning methods using tools such as R/Python and proficiency in big data & cloud infrastructures to perform tasks related to all aspects of model development, including data extraction/data load, data cleansing, predictive analysis and model build/refinement.
 Develops scalable analytic solutions capable of being used across business units.
 Pilots prototypes and a series of use cases leveraging both existing and new internal and external data streams. Identifies what data is available and relevant and leverages data collection and analysis techniques as needed for new data sources.
 Interfaces with IS/IT for data pipeline needs, data curation, certification, and appropriate data product sourcing.
 Collaborates with stakeholders to gain insight to the different functional needs, working to clearly define ambiguous issues and ideas, assess data needs, and recommend appropriate approach.
 Promotes a data-driven culture that embraces analytics through active participation in regular community of practice meetings and contribution to data literacy programs.
 Provides ongoing monitoring of decision systems and statistical models assessing actual results versus targets and applies countermeasures as necessary and ongoing continuous improvement of machine learning models & output.
 Partners with team members to ensure all information used is in compliance with the regulatory and security policies in place. Protects operations by keeping information confidential.
 Acts as key liaison with key academics, consultants, and suppliers who are occasionally leveraged for subject matter expertise.
 As necessary, performs other related duties of which the above are representative.
 
 Minimum Qualifications
 
 
 Ability to find solutions to loosely defined business problems by leveraging large unstructured datasets.
 Uses appropriate SQL tools and techniques to explore given datasets or databases including data preparation, cleansing, and data product assembly.
 Proven knowledge of statistical and machine learning methods required.
 High proficiency in statistical analysis, quantitative analytics, forecasting/predictive analytics, multivariate testing, and optimization algorithms.
 Can write functional code using common programming languages (R and/or Python).
 Must possess ability to synthesize data, uncover inherent trends in the data, make recommendations about associated opportunities and implications to business performance.
 
 
 Ability to communicate successfully with clients at various levels to understand needs and match it to the complex set of data that it may require to be compiled and analyzed.
 Ability to explain complex analysis in such a way that it can be used effectively by decision makers.
 Ability to communicate with highly technical individuals about the desires, insights and observations of the business and to ensure development and deployment of appropriate solutions.
 Peer to peer collaboration to drive change & support business goals.
 Influence without authority. Ability to build consensus and accomplish goals through others not directly under his/her/their supervision
 
 
 At least 6-7 years of relevant experience in data analysis, data management, quantitative and qualitative research and analytics experience working across multiple lines of business.
 Proven experience in building, deploying, and maintaining analytics models.
 Experience in business needs assessments, prioritization techniques, and business case development desired. Prior automotive experience a plus.
 
 B.S. degree in applied mathematics, statistics, computer science/related field with Master’s degree preferred; or B.S. degree with comparable experience in analytics/data program, specialized educational track or certification acknowledged by Nissan.
 
 
 Must have working knowledge of relational databases (SQL Server, Oracle, Postgres), mainframe, big data (Hadoop) and/or cloud-based databases & platforms.
 Demonstrable knowledge and prior use of R & Python is required. Visual analytics experience.
 Experience with SQL, coding, VBA, scripting, ETL, or data preparation/wrangling. Familiarity & hands-on experience with distributed applications to create specialized products of a highly technical nature is a plus.
 
 Welcome to an open lane of possibility. Drive your career forward and join the company leading the technology and business evolution of the automotive industry by applying today.
 
 Nissan is committed to a drug-free workplace. All employment is contingent upon successful completion of a drug screen for roles based in the United States and background screening for all positions.
 
 All of us at Nissan and Infiniti – regardless of functional area or expertise – share a passion to design, manufacture, and sell high-performance vehicles. It is Nissan’s policy to provide Equal Employment Opportunity (EEO) to all persons regardless of race, gender, military status, disability, or any other status protected by law. Candidates for this position must be legally authorized to work in the United States and will be required to provide proof of employment eligibility at the time of hire; Nissan uses E-Verify to validate employment eligibility. **Visa sponsorship for this position is not available at this time.**
 
 Annual Salary: $( 93,470– 154,224). This compensation range is provided as a reasonable estimate of the salary range for the job’s grade level. Factors that may be used to determine your actual salary may include, among other things, your specific skills, your work location, how many years of experience you have, and comparison to other employees already in this role.
 
 NISSAN FOR EVERYONE
 
 People are our most valuable assets, and diversity and inclusion are the key to maximizing the power of each individual member of our team. When everyone belongs, the power of NISSAN is undeniable. Our Corporate Diversity Initiative aims to improve business results by ensuring that our workplace and core businesses meet the unique needs of our employees and customer base.
 
 Nissan is committed to creating a culture where everyone belongs and employees, customers, and partners feel respected, valued, and heard. We have over 10 Business Synergy Teams (BSTs) across the U.S. and Canada that connect employees – with shared characteristics or interests – build allies, and foster a company culture where all employees feel supported and included.
 
 Nissan also values inclusion in all areas of our business as we strive to mirror the diversity of our customer base and the communities where we do business. We are committed to procuring innovative goods and services, retailing our products and communicating from a diverse perspective which will help us continue to offer our customers competitively designed, market-driven products.
 
 Join us as we carry our commitment to diversity and inclusion into the future.
 
 Franklin Tennessee United States of America",3.9,Nissan,"Franklin, TN",10000+,Transportation Equipment Manufacturing,Manufacturing,1000 - 5000,TN,data scientist,,0.32

Data Scientist – Vehicle Procurement (On-site Role),61160,"Data Scientist – Vehicle Procurement
 What we're looking for:
 Master at analyzing big data and operating in multiple data environments
 Ability to proactively identify areas of opportunity and creatively develop solutions in a timely manner
 Able to effectively work across teams and clearly articulate results to end users
 Requirements:
 Masters degree (mathematics, statistics, engineering, computer science) or Bachelors degree with 2 or more years of work experience
 
 The Hertz Corporation operates the Hertz, Dollar Car Rental, Thrifty Car Rental brands in approximately 9,700 corporate and franchisee locations throughout North America, Europe, The Caribbean, Latin America, Africa, the Middle East, Asia, Australia and New Zealand. The Hertz Corporation is one of the largest worldwide airport general use vehicle rental companies, and the Hertz brand is one of the most recognized in the world.",3.2,Hertz,"Estero, FL",10000+,Car & Truck Rental,Transportation & Logistics,5000 - 10000,FL,data scientist,,0.46

Data Scientist,100180,"Looking for a Data Scientist
 What you will be doing as a Data Scientist
 · Responsible for gathering and assessing business information needs and preparing system requirements
 · Performs analyses, development, and evaluation of data mining in a data warehouse environment which includes data design, database architecture, Meta data and repository creation.
 · Uses data mining and data analysis tools. Reviews and validates data loaded into the data warehouse for accuracy
 · Interacts with user community to produce reporting requirements",4.4,GTA (Global Technology Associates),"Reston, VA",,,,,VA,data scientist,,0.29

Senior Data Scientist - TS Clearance Required,131400,"Sr Data Scientist (up to 25% profit sharing benefit)
 Job Category: Science
 Time Type: Full time
 Minimum Clearance Required to Start: TS/SCI with Polygraph
 Employee Type: Regular
 Percentage of Travel Required: Up to 10%
 Type of Travel: Local
 Eighty20Collective's team is at the forefront of developing and operating state-of-the-art of Geospatial Intelligence analysis software. The team builds and maintains an exceptionally powerful platform enabling our users to address challenging real-world problems by converting disparate data into actionable information. The team is deeply passionate about its mission and takes tremendous pride in our work. We work directly with operational users to design, develop, and maintain capabilities that empower analysts to create actionable intelligence from the massive volumes of Geospatial Intelligence data to give our intel and combat organizations the decision advantage over our near-peer adversaries.",-1.0,Eighty20 Collective,,,,,,,data scientist,senior,0.65

"Data Scientist, Ecosystem",160665,"About Pinterest:
 Millions of people across the world come to Pinterest to find new ideas every day. It's where they get inspiration, dream about new possibilities and plan for what matters most. Our mission is to help those people find their inspiration and create a life they love. In your role, you'll be challenged to take on work that upholds this mission and pushes Pinterest forward. You'll grow as a person and leader in your field, all the while helping Pinners make their lives better in the positive corner of the internet.
 Our new progressive work model is called PinFlex, a term that's uniquely Pinterest to describe our flexible approach to living and working. Visit our PinFlex landing page to learn more.
 As a Data Scientist you will shape the future of people-facing and business-facing products we build at Pinterest. Your expertise in quantitative modeling, experimentation and algorithms will be utilized to solve some of the most complex engineering challenges at the company. You will collaborate on a wide array of product and business problems with a diverse set of cross-functional partners across Product, Engineering, Design, Research, Product Analytics, Data Engineering and others. The results of your work will influence and uplevel our product development teams while introducing greater scientific rigor into the real world products serving hundreds of millions of pinners, creators, advertisers and merchants around the world.",4.0,Pinterest,,1001 - 5000,Internet & Web Services,Information Technology,100 - 500,,data scientist,,0.26
