Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,"$130,941 /yr (est.)","Position Overview
Responsible for development of data-driven solutions to the AMS’s business problems. The focus is on implementing a global corporate PowerBI reporting environment centered around Microsoft Dynamics365. Specific areas of responsibility include finance, PD, and other operational areas.
Utilizes analytical, statistical, and programming skills to clean, aggregate, and analyze large data sets and interpret results. Responsible for creating and maintaining scalable, reliable, consistent and repeatable platforms, systems, and models that support data, data products, and analytical products.
Essential Functions, Duties & Accountabilities
· Ability to translate business requirements into robust, well documented, end to end data driven solutions.",3.8,"Asset Marketing Services, LLC
3.8","Eagan, MN",201 to 500 Employees,1984,Company - Private,Other Retail Stores,Retail & Wholesale,$100 to $500 million (USD)
"Sup/Mgr/Sr. Mgr, Analytics & Data Science","$140,000 /yr (est.)","Sup/Mgr/Sr. Mgr, Analytics & Data Science
Full Time
Phoenix, AZ
Manages the day-to-day activities of the Analytics & Data Science department. Serves as the primary contact and resource for staff. Provides oversight, direction, development, problem resolution and leadership for the Analytics & Data Science Team.
The team’s responsibilities include: transforming data into meaningful and actionable information for various customer segments; performing strategic data analysis to support medical management programs, quality and value-based partnerships, and a strategic and predictable corporate provider reimbursement strategy; establishing measurement standards; and identifying previously unknown relationships among the data for analyses of trends and healthcare issues.",-1.0,MatchPointe Group,"Phoenix, AZ",1 to 50 Employees,-1,Company - Private,-1,-1,$5 to $25 million (USD)
Machine Learning InfraStructure Engineer,"$137,332 /yr (est.)","Client summary
Machine Learning is the biggest gold rush of the 21st century. Companies are leveraging Machine Learning in all kinds of use cases from driving cars, developing vaccines, and detecting cancer. Yet, deploying Machine Learning is a time-intensive and technical process, creating a high barrier of entry for most companies. Our Client makes deploying Machine Learning as simple as an API. Similar to what Stripe did for the payments world, our client is doing for Machine Learning. ML is becoming a necessary part of any business. We’re seeing this first-hand as we're experiencing explosive growth and we’d love for you to join us!
We're looking for a Machine Learning Engineer (infra hacker) who has scaled ML systems to 1M + users, is willing to go deep in the weeds on r&d, cares a ton about how backend systems work, has worked on large systems but executes like a startup, fast, ships and iterates. In addition to the hard role requirements, to be a strong fit on our team we are looking for candidates who:",-1.0,JumpSmart,"San Francisco, CA",-1,-1,-1,-1,-1,-1
"Principal Associate, Data Engineer: Enterprise Data and Machine Learning",-1,"Center 3 (19075), United States of America, McLean, Virginia
Principal Associate, Data Engineer: Enterprise Data and Machine Learning
Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who solve real problems and meet real customer needs. We are seeking Data Engineers who are passionate about marrying data with emerging technologies. As a Capital One Data Engineer, you’ll have the opportunity to be on the forefront of driving a major transformation within Capital One.
Team Info:
Join a new team we're creating that has the opportunity to build out entire suites of applications from scratch using a variety of cutting edge tools. Our team builds innovative experiences and solutions that improve the employee experience at Capital One in order to, in turn, provide better value to our customers. We do this by overseeing a well-managed and strategically bold innovation pipeline within our Enterprise Data and Machine Learning (EDML) line of business, as well as facilitating an open framework for that empowers all our associates to take part. We ideate and explore boundaries, and we aren’t afraid to fail as long as we fail fast. We are always tinkering, learning, and growing.
No agencies please. Capital One is an Equal Opportunity Employer committed to diversity and inclusion in the workplace. All qualified applicants will receive consideration for employment without regard to sex, race, color, age, national origin, religion, physical and mental disability, genetic information, marital status, sexual orientation, gender identity/assignment, citizenship, pregnancy or maternity, protected veteran status, or any other status prohibited by applicable national, federal, state or local law. Capital One promotes a drug-free workplace. Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding criminal background inquiries, including, to the extent applicable, Article 23-A of the New York Correction Law; San Francisco, California Police Code Article 49, Sections 4901-4920; New York City’s Fair Chance Act; Philadelphia’s Fair Criminal Records Screening Act; and other applicable federal, state, and local laws and regulations regarding criminal background inquiries.",4.2,"Capital One
4.2","Richmond, VA",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
Statistician,$36.00 /hr (est.),"Company Name: Sciome LLC
Address: 2 Davis Drive; Research Triangle Park, NC
Web: www.sciome.com
Company information:
Sciome LLC is an innovative research and technology consulting company providing state of the art informatics solutions for the life sciences industry. We specialize in developing and deploying novel bioinformatics, cheminformatics, text mining and data analytics solutions for researchers in government, academic and private sector organizations.
Job description: Statistician
Sciome consults with leading researchers across the globe and provides analytics support for experiments generating large volumes of scientific data from a variety of health and environmental projects. Sciome has an opportunity for a Statistician to provide data analytical support for diverse set of studies that investigate the complex relationship between genetic and environmental factors or potential therapeutics on biological systems. Our clients generate massive amounts of scientific data via varied high throughput technologies, and such projects require systematic analysis of multidimensional data using state of the art statistical and machine learning techniques. The candidate will have a unique chance to work with leading scientists having wide ranging perspectives on scientific issues and to progress his/her career in a growing organization.",-1.0,Sciome LLC,"Research Triangle Park, NC",1 to 50 Employees,-1,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
Senior Data Scientist,"$125,075 /yr (est.)","Job Summary

Applies highly complex statistical techniques to help solve problems. Provides insights and actionable recommendations to the business. Utilizes highly complex statistical modeling to make predictions about future outcomes and in multiple scenarios. Explains findings to business audience.

Job Responsibilities
Responsible for applying highly complex advanced data analysis tools and techniques to provide insights and actionable recommendations for the business
Utilizes highly complex statistical modeling to make predictions about future outcomes and in multiple scenarios.
Interprets and applies data in highly-complex analyses, and explains findings to business audiences to improve products and processes.



About Walgreens Boots Alliance

Walgreens Boots Alliance (Nasdaq: WBA) is a global leader in retail pharmacy, impacting millions of lives every day through dispensing medicines, and providing accessible, high-quality care. With more than 170 years of trusted healthcare heritage and innovation in community pharmacy, the company is meeting customers’ and patients’ needs through its convenient retail locations, digital platforms and health and beauty products.

Including equity method investments, WBA has a presence in more than 25 countries, employs more than 450,000 people and has more than 21,000 stores.

WBA’s purpose is to help people across the world lead healthier and happier lives. The company is proud of its contributions to healthy communities, a healthy planet, an inclusive workplace and a sustainable marketplace. WBA is a participant of the United Nations Global Compact and adheres to its principles-based approach to responsible business.

WBA is included in FORTUNE’s 2021 list of the World’s Most Admired Companies*. This is the 28th consecutive year that WBA or its predecessor company, Walgreen Co., has been named to the list.

More company information is available at www.walgreensbootsalliance.com.",3.1,"WALGREENS
3.1","Chicago, IL",10000+ Employees,1901,Company - Public,Drug & Health Stores,Retail & Wholesale,$10+ billion (USD)
Data Scientist,"$80,000 /yr (est.)","Lymba Corporation, a NLP Software Company located in the Dallas area is seeking a highly skilled and motivated Data Scientist to conduct development in human language technology and human-computer interaction.
Responsibilities:
· Train and evaluate Lymba’ s NLP Systems
· Participate in data collection, data analysis, creating benchmarks, etc.
· Closely work with researchers and engineers
· Propose solutions for resolving issues",3.5,"Lymba Corporation
3.5","Richardson, TX",51 to 200 Employees,-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,$5 to $25 million (USD)
Data Scientist I,"$102,500 /yr (est.)","Job Title: Data Scientist I

Department: Data
About the Role:
We are currently seeking a highly motivated Data Scientist I. This role will report to Senior Data Scientist and enable us to continue to scale in the healthcare industry. The successful candidate will have a strong background in statistical analysis, machine learning, and data visualization, as well as the ability to work with large and complex data sets. The Data Scientist I will be responsible for using data and analytics to drive strategic decision making and support business objectives within the healthcare industry.",4.6,"ApolloMed
4.6",Remote,501 to 1000 Employees,1994,Company - Public,Health Care Services & Hospitals,Healthcare,$500 million to $1 billion (USD)
Data Scientist,"$130,350 /yr (est.)","Work Mode:
Onsite
Responsibilities:
1.Join a highly skilled data science team to mine through data to identify data-driven opportunities in game production, publishing and live-ops
2.Work with large datasets and apply advanced analytic methods to solve challenging problems and to deliver scalable solutions.
3.Establish scalable, efficient, automated processes and provide end-to-end data products with large-scale data analysis, A/B testing, machine/deep learning model development, validation and serving.
4.Interact cross-functionally with various teams and provide actionable business insights for stakeholders.
5.Research new machine learning approaches.
1.Join a highly skilled data science team to mine through data to identify data-driven opportunities in game production, publishing and live-ops
2.Work with large datasets and apply advanced analytic methods to solve challenging problems and to deliver scalable solutions.
3.Establish scalable, efficient, automated processes and provide end-to-end data products with large-scale data analysis, A/B testing, machine/deep learning model development, validation and serving.
4.Interact cross-functionally with various teams and provide actionable business insights for stakeholders.
5.Research new machine learning approaches.
1.MS/PhD degree in a quantitative field - Computer Science, Operational Research, Mathematics, Statistics, Economics or related fields. Ph.D. with Strong publication record preferred;2.3+ years of experience of building machine learning models for business applications;3. Deep and extensive knowledge in one or more of the following areas: Deep Learning, Reinforcement Learning, Statistical Analysis, NLP, Computer Vision, Recommendation System, Big Data technologies, and any other data science related domains.4.Expert in statistical analysis (probabilities, hypothesis testing, multivariate analysis, time series analysis, generalized linear model, A/B experiments) ;5.Proficient in SQL and Python, Java, C++ or related programming languages;6.Experience with Big Data technologies such as Hadoop, Spark, Pig, Hive, etc. is preferred.7.Ability to understand complex subjects clearly and proposing actionable data-driven solutions to them. Good business acumen and communication skills is a plus.

California
The base pay range for this position in the state(s) above is $81,400 to $179,300 per year. Actual pay is based on market location and may vary depending on job-related knowledge, skills, and experience. A sign on payment, relocation package, and restricted stock units may be provided as part of the compensation package, as well as other medical, financial, and/or other benefits, dependent on the specific position offered.",4.1,"Tencent
4.1","Palo Alto, CA",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Data Scientist,"$109,563 /yr (est.)","United States - Illinois, United States - New Jersey, United States - Tennessee
Compliance
Group Functions
Job Reference #
273620BR
City
Chicago, Nashville, Weehawken
Job Type
Full Time",3.9,"UBS
3.9","Chicago, IL",10000+ Employees,1862,Company - Public,Investment & Asset Management,Financial Services,$10+ billion (USD)
Data Scientist – Vehicle Procurement (On-site Role),"$61,125 /yr (est.)","Data Scientist – Vehicle Procurement
What we're looking for:
Master at analyzing big data and operating in multiple data environments
Ability to proactively identify areas of opportunity and creatively develop solutions in a timely manner
Able to effectively work across teams and clearly articulate results to end users
Requirements:
Masters degree (mathematics, statistics, engineering, computer science) or Bachelors degree with 2 or more years of work experience

The Hertz Corporation operates the Hertz, Dollar Car Rental, Thrifty Car Rental brands in approximately 9,700 corporate and franchisee locations throughout North America, Europe, The Caribbean, Latin America, Africa, the Middle East, Asia, Australia and New Zealand. The Hertz Corporation is one of the largest worldwide airport general use vehicle rental companies, and the Hertz brand is one of the most recognized in the world.",3.2,"Hertz
3.2","Estero, FL",10000+ Employees,1918,Company - Public,Car & Truck Rental,Transportation & Logistics,$5 to $10 billion (USD)
AI Machine Learning Scientist Associate,"$114,603 /yr (est.)","Location: Hybrid Work environment in Surrounding Chicago, New York City, or New Jersey Area
Hours: M- F Standard Working Hours
Travel: No Travel

Position Overview:
Responsible for junior level Artificial Intelligence (AI) scientific and statistical methods to assist with product creation, development and improvement.
How You Will Make an Impact:",3.7,"Elevance Health
3.7","Chicago, IL",10000+ Employees,2004,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
Senior Principal Data Scientist,"$153,889 /yr (est.)","Job Summary :

Designs, develops and programs methods, processes, and systems to consolidate and analyze unstructured, diverse “big data” sources to generate actionable insights and solutions for client services and product enhancement. Utilizes statistical modeling to make predictions about future outcomes and in multiple scenarios. Evangelizes new ideas / technologies / solutions to gain acceptance from a wide range of audiences.Assigned to the most complex projects.

Job Responsibilities :
Utilizes statistical modeling to make predictions about future outcomes and in multiple scenarios. Evangelizes new ideas / technologies / solutions to gain acceptance at the highest levels of the organization.
Interprets and applies data in the most strategic, most complex analyses, and explains findings to the stakeholders and business audiences to improve products and processes.


Walgreens (www.walgreens.com) is included in the U.S. Retail Pharmacy and U.S. Healthcare segments of Walgreens Boots Alliance, Inc. (Nasdaq: WBA), an integrated healthcare, pharmacy and retail leader with a 170 year heritage of caring for communities. WBA’s purpose is to create more joyful lives through better health. Operating nearly 9,000 retail locations across America, Puerto Rico and the U.S. Virgin Islands, Walgreens is proud to be a neighborhood health destination serving nearly 10 million customers each day. Walgreens pharmacists play a critical role in the U.S. healthcare system by providing a wide range of pharmacy and healthcare services, including those that drive equitable access to care for the nation’s medically underserved populations. To best meet the needs of customers and patients, Walgreens offers a true omnichannel experience, with fully integrated physical and digital platforms supported by the latest technology to deliver high quality products and services in communities nationwide.",3.1,"WALGREENS
3.1","Deerfield, IL",10000+ Employees,1901,Company - Public,Drug & Health Stores,Retail & Wholesale,$10+ billion (USD)
Data Scientist_Computer Vision,$85.00 /hr (est.),"9+ years
Data Scientist -- Computer Vision
1. Solid knowledge of various Image Filtering, Binary Morphology, Perspective / Affine transformation, Edge Detection, and Tracking.
2. Machine Learning: Regression, Unsupervised Learning, PCA.
3. Nice but not necessary to have HDR, Panorama, and deep Learning object detection.
Job Type: Contract
Salary: $80.00 - $90.00 per hour",-1.0,ABN Tech Corp,"Santa Clara, CA",-1,-1,-1,-1,-1,-1
"Junior Data Scientist, L'Oreal Research & Innovation","$92,098 /yr (est.)","Job Title Sr Analyst I – Junior Data Scientist
Division: Research & Innovation
Location: Clark, NJ
Reports To: VP, NA Digital Transformation IT
Who We Are:
For more than a century, L’Oréal has devoted its energy, innovation, and scientific excellence solely to one business: Beauty. Our goal is to offer each and every person around the world the best of beauty in terms of quality, efficacy, safety, sincerity and responsibility to satisfy all beauty needs and desires in their infinite diversity.",4.0,"L'Oreal
4.0","Clark, NJ",10000+ Employees,1909,Company - Private,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD)
Data Scientist (Machine Learning),-1,"Company Name: Decision Spot

Job Title: Data Scientist

Locations:
United States - Chicago, IL (Preferred) or Remote
India, Brazil - Remote
About Decision Spot:
Decision Spot is a startup based in Chicago, IL and Richmond, VA. We are helping our clients in transforming their supply chain and operations with the use of advanced analytics, i.e., operations research, data science, and machine learning. We are a growing team of optimization, data science, data engineering, and software engineering experts.

Job Description:
Decision Spot is looking for data scientists who will enjoy finding creative solutions to solve complex business problems in supply chain and operations. The person in this role will work with large datasets, find necessary insights, build machine learning models, and present results to the stakeholders. Creating a useful solution for a business problem requires good technical and programming skills as well as creativity and practicality.

Responsibilities:
Qualifications:
Bonus Skills:
Recent graduates with exceptional technical and communication skills are encouraged to apply. We will provide necessary on-job training.

If you are interested in this position, reach out to us at info@decisionspot.com with a copy of your latest resume.",-1.0,Decision Spot,"Chicago, IL",-1,-1,-1,-1,-1,-1
Data Scientist Position in Clinical Data Science,"$97,406 /yr (est.)","Data Scientist Position in Clinical Data Science
- (3237368)

Data Scientist Position in Clinical Data Science
https://clai.mgh.harvard.edu/
The Clinical Augmented Intelligence Group (CLAI) is seeking a Data Scientist with strong Machine Learning background. Our group conducts research at the intersection of computational sciences and health. Led by Dr. Hossein Estiri, CLAI resides within the Massachusetts General Hospital (MGH) Department of Medicine. As the largest hospital-based research program in the world, MGH enables CLAI research to leverage state-of-the-art large-scale clinical data for developing specialized AL/ML methods to enrich human phenotype models. This position is initially available for one year with a possible extension for up to three years based on performance evaluation. Salary will be commensurate with the candidate’s experience and qualifications. Responsibilities",4.0,"Massachusetts General Hospital(MGH)
4.0","Somerville, MA",10000+ Employees,1811,Hospital,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD)
Mid-Level Data Scientist,"$92,500 /yr (est.)","Location and Travel Details: Dayton or Cincinnati area preferred, remote considered
Join our Data Science Team! Our collaborative and diverse data science team has experience that spans many industries including energy, retail, healthcare, and DoD. Our projects have ranged from natural language processing (NLP) and text analytics to machine learning, predictive analytics, and simulation modeling. We are looking for a data scientist who is career-oriented and eager to grow their skills. The ideal candidate will bring innovative use of scientific research concepts, principles, and practices and will contribute to the application of advanced data science methods and techniques.
Do you have what it takes? Are you driven to implement creative solutions that unravel complex and ever-changing challenges? We value passion, curiosity, and perseverance with an ability to communicate ideas and results to diverse audiences. We look for people who thrive in collaborative and independent assignments, have the aptitude to learn new data quickly, and who are willing to mentor junior team members. Required skills for this job include:",-1.0,Illumination Works,Remote,51 to 200 Employees,2006,Contract,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Scientist,"$110,400 /yr (est.)","Job ID:
13122

Location:
Newport News, VA

Category:
Computer

Division:
CST Division

Position Type:
Regular


Bachelor's Degree


3+ years


Yes

Position Description

As a matter of corporate policy, all JSA employees are required to be vaccinated against COVID-19. All successful hires will be required to provide COVID-19 vaccination verification as a condition of employment, subject to limited legally recognized exemptions to the COVID-19 vaccination.

03/20/2023

$85,500 - $135,300 (SCS II)

Hybrid (combination of on-site and remote work based on business needs)

Selected candidate should be available to start June 2023.


Jefferson Lab is a nuclear physics research facility funded by Office of Science of the Department of Energy. The Computational Sciences and Technology (CST) division is responsible for the support of scientific computing projects and the computing infrastructure that advance the science mission of the laboratory. The mission for the data science department is to develop and apply advance data analytics to advance the Jefferson Lab scientific objective and regional scientific efforts.

The position will focus on projects aimed at applying data science methods to relevant Jefferson Lab mission projects. The Data Science Department at Jefferson Lab is conducting research and development in machine learning and data analysis focused on:

Uncertainty quantification for single pass deep learning models
Automated and autonomous for design and control applications
Robust and scalable Machine Learning (ML)/Artificial Intelligence (AI) solutions


Conduct technical data science research for climate and health disparity
Conduct technical data science research on nuclear physics experimental control
Conduct technical data science research on MLOps
Apply and develop methods to include uncertainty quantification for scientific research project

Discipline, principal job duties/expectations, and qualitative and quantitative measures of performance:
Conduct technical research in areas of interest to the projects
Publish research results in highly visible, peer-reviewed venues (conferences & journals)
Develop and maintain high quality software for data science projects (machine learning & uncertainty quantify)
Interact with internal and external researchers and domain scientists for collaboration purposes
Participate and potentially lead technical presentations on the work
Participate in team meetings and interact with funding clients
The candidate will have a background in a relevant area of computer science and/or data science and some experience with ML/AI. Applicants must be able to work with a diverse group of subject matter experts, possess good communication skills, and have relevant technical knowledge.



Bachelor's Degree in Computer Science, Data Science, Applied Mathematics, Computer Engineering, or a closely related technical area.


3 years of experience in relevant IT field


Proficiency in Python and familiarity with publicly available technical libraries for data analytics (e.g. scikit-learn), deep learning (e.g. Pytorch, Tensorflow) and optimization tools.
Ability to work with large datasets and mine relevant information for use in AI/ML applications
Proactive, highly motivated self-starter with demonstrated experience with contributing and leading tasks on major projects with multi-disciplinary teams.
Demonstrated ability to develop approaches and solutions to complex problems in the forms of proposals, software, documents or other work products.
Must be able to operate computer equipment in an office or laboratory environment
Ability to clearly communicate and report the progress on tasks and projects
Strong interpersonal skills and ability to effectively work on project teams

About Jefferson Lab

Join a community with a common purpose of solving the most challenging scientific and engineering problems of our time. The Jefferson Lab campus is located in southeastern Virginia amidst a vibrant and growing technology community.

A career at Jefferson Lab is more than a job. You will be part of “big science” and work alongside top scientists and engineers from around the world unlocking the secrets of our visible universe. Managed by Jefferson Science Associates, LLC; Thomas Jefferson National Accelerator Facility is entering an exciting period of mission growth and is seeking new team members ready to apply their skills and passion to have an impact. You could call it work, or you could call it a mission. We call it a challenge. We do things that will change the world.

Total Rewards at Jefferson Lab

At Jefferson Lab, we believe that a comprehensive employee benefits program is an important and meaningful part of the compensation employees receive. Our benefits program includes, but is not limited to:

Medical, Dental, and Vision Care Plans
Flexible Spending Accounts
Paid Time-off and Leave Programs (Paid Parental, vacation, holidays, and sick leave)
401(k) Plan – 9% Lab Contribution; 100% vested
Flexible Work Arrangements (Remote & Alternate Work Schedules available)
Tuition Assistance, Training and Professional Development Programs
Live near the waterways of the Chesapeake Bay region with access to nearby beaches, mountains, and all major metropolitan centers on the East Coast

Jefferson Science Associates, LLC (JSA) manages and operates the Thomas Jefferson National Accelerator Facility (Jefferson Lab). JSA is an Equal Opportunity Employer and does not discriminate in hiring or employment on the basis of race, color, religion, ethnicity, sex, sexual orientation, gender identity, national origin, ancestry, age, disability, or veteran status or on any other basis prohibited by federal, state, or local law. As part of the JSA’s equal employment opportunity policy, we also take affirmative action as called for by applicable laws and Executive Orders to ensure that minority group individuals, females, disabled veterans, recently separated veterans, other protected veterans, Armed Forces, and qualified disabled persons are introduced into our workforce and considered for promotional opportunities. JSA is committed to providing reasonable accommodations for persons with disabilities (unless doing so will result in an undue hardship). If you need a reasonable accommodation for any part of the employment process, please send an e-mail to employment @ jlab.org or call (757) 2697598 to provide the nature of your request. Reasonable accommodations are considered on a case-by-case basis.

Employment with JSA is conditional upon DOE approval if at any time during your employment you are participating in a Foreign Government Talent Recruitment Program or Affiliated activity. Generally, such programs/activities include any foreign-state-sponsored attempt to acquire U.S.-funded scientific research through programs run or funded by the government that target scientists, engineers, students, academics, researchers, and entrepreneurs of all nationalities working or educated in the United States. This includes positions or appointments, both domestic and foreign, titled academic, professional, or institutional appointments whether or not remuneration is received and whether full-time, part-time or voluntary.",4.1,"Jefferson Lab
4.1","Newport News, VA",501 to 1000 Employees,1984,Government,National Agencies,Government & Public Administration,$100 to $500 million (USD)
Machine Learning Research Scientist - Atlas Perception,"$116,657 /yr (est.)","Do you have a passion for applying state-of-the-art deep learning techniques to solve real problems in robotics? As a Research Scientist on the Atlas Perception team, you will play a key role solving the uniquely challenging perception problems in humanoid robotics, including scene understanding, localization, object pose estimation, and terrain prediction. You will work closely with software, mechanical, and electrical engineers to research, develop, and test new robot technologies for Atlas and other R&D efforts at Boston Dynamics.
As a leader in the field you will shape novel ML perception techniques to drastically improve the utility of mobile robots by enabling them to effectively interact with the world around them.
How you will make an impact:
Identify high impact areas where deep learning can be applied to solve real problems for our robots
Research and evaluate new ML architectures to solve novel vision problems",4.7,"Boston Dynamics
4.7","Waltham, MA",201 to 500 Employees,1992,Subsidiary or Business Segment,Computer Hardware Development,Information Technology,$5 to $25 million (USD)
Sr Data Scientist,-1,"Every great story has a new beginning, and yours starts here.
Welcome to Warner Bros. Discovery… the stuff dreams are made of.
Who We Are…
When we say, “the stuff dreams are made of,” we’re not just referring to the world of wizards, dragons and superheroes, or even to the wonders of Planet Earth. Behind WBD’s vast portfolio of iconic content and beloved brands, are the storytellers bringing our characters to life, the creators bringing them to your living rooms and the dreamers creating what’s next…
From brilliant creatives, to technology trailblazers, across the globe, WBD offers career defining opportunities, thoughtfully curated benefits, and the tools to explore and grow into your best selves. Here you are supported, here you are celebrated, here you can thrive.

Warner Bros. Discovery embraces the opportunity to build a workforce that reflects the diversity of our society and the world around us. Being an equal opportunity employer means that we take seriously our responsibility to consider qualified candidates on the basis of merit, without regard to race, color, religion, national origin, gender, sexual orientation, gender identity or expression, age, mental or physical disability, and genetic information, marital status, citizenship status, military status, protected veteran status or any other category protected by law.
If you’re a qualified candidate with a disability and you need a reasonable accommodation in order to apply for this position, please contact us at recruitadmin@wbd.com.",3.8,"Warner Bros. Discovery
3.8",North Carolina,10000+ Employees,2003,Company - Public,Film Production,Media & Communication,$10+ billion (USD)
Associate Data Scientist,"$95,000 /yr (est.)","The Role
We are seeking a motivated and analytical individual to join our team as an Associate Data Scientist. In this role, you will help Polco leverage data to drive impact and provide direction and insight internally and externally while also helping to manage our clients’ custom research needs. You will be responsible for data exploration, collection, and cleaning as well as analysis across a wide range of projects; some directly helping customers, others helping partners, and some helping to support business decisions and improve performance. As an Associate Data Scientist, you will work with a team of experienced professionals in a collaborative environment to analyze datasets and apply advanced statistical methods to solve complex problems.
Key Responsibilities",4.8,"Polco
4.8",Remote,51 to 200 Employees,-1,Company - Private,Municipal Agencies,Government & Public Administration,Unknown / Non-Applicable
Principal Data Scientist (Algorithm),"$146,543 /yr (est.)","Job Summary:

Job Responsibilties:
Utilizes statistical modeling to make predictions about future outcomes and in multiple scenarios. Evangelizes new ideas / technologies / solutions to gain acceptance from a wide range of audiences.
Interprets and applies data in the most complex analyses and explains findings to business audiences to improve products and processes.
Sets the vision for manipulation and analysis of large and complex data sets.
Leads the development and execution of statistical and mathematical analyses to support business decisions enterprise wide or for multiple business functions. Analyses have substantial impact on business operations or outcomes.

About Walgreens and WBA

Walgreens (www.walgreens.com) is included in the U.S. Retail Pharmacy and U.S. Healthcare segments of Walgreens Boots Alliance, Inc. (Nasdaq: WBA), an integrated healthcare, pharmacy and retail leader with a 170 year heritage of caring for communities. WBA’s purpose is to create more joyful lives through better health. Operating nearly 9,000 retail locations across America, Puerto Rico and the U.S. Virgin Islands, Walgreens is proud to be a neighborhood health destination serving nearly 10 million customers each day. Walgreens pharmacists play a critical role in the U.S. healthcare system by providing a wide range of pharmacy and healthcare services, including those that drive equitable access to care for the nation’s medically underserved populations. To best meet the needs of customers and patients, Walgreens offers a true omnichannel experience, with fully integrated physical and digital platforms supported by the latest technology to deliver high quality products and services in communities nationwide.",3.1,"WALGREENS
3.1","Deerfield, IL",10000+ Employees,1901,Company - Public,Drug & Health Stores,Retail & Wholesale,$10+ billion (USD)
Associate Data Scientist,"$96,286 /yr (est.)","Job Summary:

Applies data analysis tools and techniques to provide insights and actionable recommendations for the business. Uses statistical modeling to make predictions about future outcomes in multiple scenarios to improve products & processes. May explain findings to business audience.

Job Responsibilities:
Responsible for applying data analysis tools and techniques to provide insights and actionable recommendations for the business. Uses statistical modeling to make predictions about future outcomes in multiple scenarios to improve products & processes. May explain findings to business audience.
Assists in executing statistical and mathematical analyses to support business decision making for multiple business functions.


About Walgreens and WBA

Walgreens (www.walgreens.com) is included in the U.S. Retail Pharmacy and U.S. Healthcare segments of Walgreens Boots Alliance, Inc. (Nasdaq: WBA), an integrated healthcare, pharmacy and retail leader with a 170-year heritage of caring for communities. WBA’s purpose is to create more joyful lives through better health. Operating nearly 9,000 retail locations across America, Puerto Rico and the U.S. Virgin Islands, Walgreens is proud to be a neighborhood health destination serving nearly 10 million customers each day. Walgreens pharmacists play a critical role in the U.S. healthcare system by providing a wide range of pharmacy and healthcare services, including those that drive equitable access to care for the nation’s medically underserved populations. To best meet the needs of customers and patients, Walgreens offers a true omnichannel experience, with fully integrated physical and digital platforms supported by the latest technology to deliver high-quality products and services in communities nationwide.




This job description is to be used as a guide for accomplishing Company and department objectives, and only covers the primary functions and responsibilities of the position. It is in no way to be construed as an all-encompassing list of duties",3.1,"WALGREENS
3.1","Deerfield, IL",10000+ Employees,1901,Company - Public,Drug & Health Stores,Retail & Wholesale,$10+ billion (USD)
Jr. Data Scientist,"$113,258 /yr (est.)","Overview:
The Junior Data Scientist, as part of SRI International's Center for Innovation Strategy and Policy (CISP), having flexiblity to work a hybrid work schedule, will contribute to the design and execution of data analysis tasks to support of a diverse range of clients. Based out of our Arlington, VA office, CISP helps organizations, regions, and countries achieve economic and social impact through effective investments in science, technology, and innovation. Our team supports clients with innovation policy research, analysis, and evaluations on projects in the following areas:
Tech-based Economic and Workforce Development
Innovation Ecosystem Assessment
Innovation Strategy and Training
Complex Program Evaluation
Responsibilities:
Qualifications:",3.8,"SRI International
3.8","Arlington, VA",1001 to 5000 Employees,1946,Nonprofit Organization,Research & Development,Management & Consulting,$500 million to $1 billion (USD)
Associate Data Scientist,"$81,450 /yr (est.)","General information
All posting locations: USA-IL, , United States of America
Job Function: 16 - Digital
Date Published: 20-Mar-2023
Ref #: R-68013
Base Salary Range: $72,400.00 - $90,500.00
Target Total Cash Range: $86,880.00 - $108,600.00
Target total cash represents this role's annualized cash earning potential at target (base salary + target bonus). Target total cash is contingent on targeted company performance achievement and individual attainment of performance goals. Therefore, target total cash is not guaranteed earnings.",3.4,"Kraft Heinz Company
3.4",Illinois,10000+ Employees,2015,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD)
